7106,6129274.4;
5200,6129274.4;
903,6755624.0;
3753,8947846.4;
5378,1.8790479466666665E7;
9835,9305760.533333333;
9624,6352970.4;
4488,6129274.4;
7882,9753152.266666668;
237,2.0937962933333334E7;
408,1.0111066933333334E7;
3345,6308231.733333333;
9235,1.1050592533333333E7;
1949,1.03347632E7;
4379,1476393.6;
5843,0.0;
5245,0.0;
6924,0.0;
1858,0.0;
7196,0.0;
8790,0.0;
6167,0.0;
1099,0.0;
6785,0.0;
610,0.0;
214,0.0;
3843,0.0;
4224,0.0;
635,0.0;
8184,0.0;
8113,0.0;
3165,0.0;
5483,0.0;
8037,0.0;
5673,0.0;
9235,0.0;
4239,0.0;
1661,0.0;
155,0.0;
2745,0.0;
7773,0.0;
8472,0.0;
1968,0.0;
5143,0.0;
6476,0.0;
308,0.0;
7790,0.0;
571,0.0;
7544,0.0;
8583,0.0;
5727,0.0;
363,0.0;
5690,0.0;
1894,178956.8;
1983,134217.6;
8809,0.0;
540,0.0;
8574,0.0;
1322,0.0;
3109,0.0;
9868,0.0;
4064,0.0;
1496,0.0;
9079,0.0;
278,0.0;
7366,0.0;
1343,0.0;
6876,0.0;
5999,0.0;
4354,0.0;
3307,0.0;
7772,0.0;
2052,0.0;
8262,0.0;
3769,0.0;
3848,0.0;
174,0.0;
9273,0.0;
8760,268435.2;
7363,89478.4;
4660,0.0;
5807,0.0;
8387,0.0;
5501,0.0;
513,0.0;
9853,0.0;
615,0.0;
9243,0.0;
8170,0.0;
7482,0.0;
3913,0.0;
2153,0.0;
7480,0.0;
3530,0.0;
8729,0.0;
6053,0.0;
8552,0.0;
6381,0.0;
9760,0.0;
5719,0.0;
8664,0.0;
4757,0.0;
4523,0.0;
4048,0.0;
2492,0.0;
3472,0.0;
8899,0.0;
2431,0.0;
7582,0.0;
9217,0.0;
6970,0.0;
8490,0.0;
8214,0.0;
615,0.0;
759,0.0;
4781,0.0;
8591,0.0;
9033,0.0;
5267,0.0;
7578,0.0;
619,0.0;
7926,0.0;
5600,0.0;
4443,0.0;
2470,0.0;
8841,134217.6;
5905,178956.8;
2924,0.0;
1578,0.0;
1662,0.0;
4331,0.0;
429,0.0;
9748,0.0;
5126,0.0;
4330,0.0;
7085,0.0;
8681,0.0;
1226,0.0;
182,0.0;
9244,0.0;
1332,0.0;
3691,0.0;
3879,0.0;
1152,0.0;
8278,0.0;
6444,715827.2;
1207,1342176.0;
6296,223696.0;
8537,0.0;
2647,0.0;
7205,0.0;
7917,0.0;
1124,0.0;
8745,0.0;
5051,0.0;
310,0.0;
7053,0.0;
811,0.0;
7865,0.0;
8607,0.0;
1444,0.0;
2365,0.0;
9916,0.0;
5017,0.0;
1943,0.0;
3884,0.0;
2288,0.0;
3708,134217.6;
2753,223696.0;
4222,0.0;
8192,0.0;
4869,402652.8;
3233,268435.2;
3301,0.0;
4796,0.0;
888,0.0;
6239,0.0;
3590,0.0;
1684,0.0;
4030,178956.8;
4170,89478.4;
5136,0.0;
900,0.0;
5505,0.0;
29,0.0;
5201,0.0;
9880,0.0;
422,0.0;
6706,0.0;
8934,0.0;
6533,0.0;
1741,0.0;
171,0.0;
1908,0.0;
5218,0.0;
9063,0.0;
1298,0.0;
8867,0.0;
3450,0.0;
4841,0.0;
6631,0.0;
5549,0.0;
1779,268435.2;
1461,0.0;
570,0.0;
2089,268435.2;
3465,0.0;
7481,0.0;
153,0.0;
7144,0.0;
6368,0.0;
333,0.0;
8935,0.0;
1673,223696.0;
6727,134217.6;
5763,0.0;
8270,0.0;
39,0.0;
3421,0.0;
1383,0.0;
2721,0.0;
4014,0.0;
1741,0.0;
2857,0.0;
1321,0.0;
2163,0.0;
7677,0.0;
6428,134217.6;
7889,0.0;
3082,0.0;
7317,0.0;
788,0.0;
1761,0.0;
6001,0.0;
1076,0.0;
4597,0.0;
4903,0.0;
6403,0.0;
9141,0.0;
3371,0.0;
2614,0.0;
7431,134217.6;
2810,268435.2;
889,0.0;
2833,0.0;
161,0.0;
6172,0.0;
5822,0.0;
3360,0.0;
7053,0.0;
3991,0.0;
3828,0.0;
7252,447392.0;
3292,1834307.2;
4565,1386915.2;
9031,0.0;
4108,0.0;
148,0.0;
865,134217.6;
6485,0.0;
8994,0.0;
2956,0.0;
9289,268435.2;
9014,1923785.6;
1347,2013264.0;
3889,134217.6;
3025,0.0;
7618,0.0;
3364,0.0;
6280,0.0;
6173,0.0;
4559,0.0;
1111,0.0;
2954,0.0;
5572,0.0;
2187,0.0;
1839,2192221.8666666667;
5740,7739887.2;
9540,6218753.066666666;
8557,5905578.4;
7877,8858368.266666668;
7150,2.2951228533333335E7;
6659,1.44507736E7;
3017,7068798.133333334;
860,8187279.2;
8069,1.4629730133333333E7;
3147,1.8701001066666666E7;
1042,9082064.0;
12,6710884.0;
7208,7963584.266666667;
4372,2.2772272E7;
7834,1.5300818666666666E7;
4769,7203015.733333333;
9089,6576666.933333334;
4623,1.3869163466666667E7;
4436,2.4785540266666666E7;
5087,9753153.066666666;
7357,8366236.266666667;
9391,1.0737416266666668E7;
8476,9574195.733333332;
2460,2639613.066666667;
9321,178956.8;
6086,0.0;
4020,0.0;
891,0.0;
5829,0.0;
2375,0.0;
1494,0.0;
9829,0.0;
7782,178956.8;
6154,89478.4;
9120,0.0;
452,0.0;
6916,178956.8;
7515,3847572.533333333;
1931,5234489.6;
2570,5637143.2;
3838,6308231.2;
1036,1.83878264E7;
